Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,2.63,1.71,0.83,0.82,94.0,8.7,M
Final Fantasy XII,PS2,2006.0,Role-Playing,1.88,0.0,2.33,1.74,92.0,7.6,T
The Last of Us,PS3,2013.0,Action,2.41,2.18,0.28,0.99,95.0,9.1,M
LittleBigPlanet,PS3,2008.0,Platform,2.8,1.98,0.17,0.87,95.0,6.8,E
Resident Evil 2,PS,1998.0,Action,1.88,1.47,2.02,0.45,89.0,9.2,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,0.63,0.67,4.35,0.15,87.0,8.8,E10+
Tekken 2,PS,1996.0,Fighting,2.26,1.89,1.36,0.23,89.0,8.9,T
Destiny,PS4,2014.0,Shooter,2.49,2.07,0.16,0.92,76.0,6.1,T
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,3.57,1.55,0.0,0.51,80.0,8.9,E10+
Cooking Mama,DS,2006.0,Simulation,3.07,1.91,0.07,0.57,67.0,7.2,E
Tetris,NES,1988.0,Puzzle,2.97,0.69,1.81,0.11,,,
Super Smash Bros.,N64,1999.0,Fighting,2.95,0.6,1.97,0.04,,,
Assassin's Creed II,PS3,2009.0,Action,2.54,1.93,0.21,0.86,91.0,8.6,M
Assassin's Creed,X360,2007.0,Adventure,3.28,1.64,0.07,0.56,81.0,7.7,M
Forza Motorsport 3,X360,2009.0,Racing,2.99,1.9,0.1,0.5,92.0,8,E
Super Mario Advance,GBA,2001.0,Platform,3.14,1.24,0.91,0.2,84.0,7.8,E
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,0.47,0.55,4.13,0.34,81.0,8.7,T
Batman: Arkham City,PS3,2011.0,Action,2.71,1.85,0.11,0.81,96.0,8.6,T
Grand Theft Auto V,XOne,2014.0,Action,2.81,2.19,0.0,0.47,97.0,7.9,M
Mario Kart: Super Circuit,GBA,2001.0,Racing,2.62,1.64,0.99,0.23,93.0,8.3,E
Super Mario World,GBA,2001.0,Platform,3.21,1.11,0.95,0.2,,,
Pokemon Stadium,N64,1999.0,Strategy,3.18,1.24,0.94,0.09,,,
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,2.07,2.29,0.24,0.82,66.0,7.1,E
Call of Duty: World at War,PS3,2008.0,Shooter,2.73,1.83,0.0,0.83,85.0,7.6,M
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,1.85,2.5,0.19,0.85,93.0,7.9,T
Dr. Mario,GB,1989.0,Puzzle,2.18,0.96,2.0,0.2,,,
Final Fantasy XIII,PS3,2009.0,Role-Playing,1.74,1.21,1.87,0.51,83.0,7.3,T
Pokemon Pinball,GB,1999.0,Misc,3.02,1.12,1.01,0.16,,,
Final Fantasy IX,PS,2000.0,Role-Playing,1.62,0.77,2.78,0.14,94.0,8.9,T
Assassin's Creed III,X360,2012.0,Action,3.13,1.69,0.03,0.44,84.0,6.7,M
Final Fantasy X-2,PS2,2003.0,Role-Playing,1.92,1.08,2.11,0.17,85.0,6.6,T
Donkey Kong 64,N64,1999.0,Platform,3.33,0.79,1.09,0.06,,,
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,3.22,1.55,0.01,0.48,81.0,5.4,M
Minecraft,PS3,2014.0,Misc,2.03,2.37,0.0,0.87,,,
Assassin's Creed II,X360,2009.0,Action,3.11,1.55,0.08,0.51,90.0,8.8,M
Tomb Raider II,PS,1997.0,Action,2.3,2.46,0.2,0.28,85.0,,T
Madden NFL 2004,PS2,,Sports,4.26,0.26,0.01,0.71,94.0,8.5,E
Tomodachi Life,3DS,2013.0,Simulation,0.97,2.11,1.9,0.24,,,
New Super Mario Bros. U,WiiU,2012.0,Platform,2.3,1.34,1.27,0.32,84.0,8.1,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,0.65,0.75,3.61,0.2,89.0,8.8,T
Super Mario Bros. 3,GBA,2003.0,Platform,2.93,1.25,0.83,0.2,,,
Professor Layton and the Curious Village,DS,2007.0,Puzzle,1.21,2.43,1.03,0.52,85.0,8.6,E
Super Mario Land 3: Wario Land,GB,1994.0,Platform,2.49,0.98,1.57,0.15,,,
FIFA Soccer 13,X360,2012.0,Action,1.09,3.47,0.03,0.57,90.0,6.1,E
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,2.1,0.74,2.2,0.11,,,
Diablo III,PC,2012.0,Role-Playing,2.44,2.16,0.0,0.54,88.0,4,M
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,1.98,2.23,0.13,0.8,68.0,7.6,T
Kirby's Dream Land,GB,1992.0,Platform,2.71,0.61,1.7,0.11,,,
Microsoft Flight Simulator,PC,1996.0,Simulation,3.22,1.69,0.0,0.2,,,
Guitar Hero II,PS2,2006.0,Misc,3.81,0.63,0.0,0.68,92.0,8.5,T
Fable III,X360,2010.0,Role-Playing,3.59,1.08,0.05,0.38,80.0,6.5,M
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,1.63,2.45,0.44,0.57,,,
Resident Evil 5,PS3,2009.0,Action,1.96,1.41,1.08,0.64,84.0,7.5,M
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,1.85,1.8,0.95,0.48,90.0,8,E
Super Mario Bros.,GB,1999.0,Platform,3.4,1.3,0.15,0.22,,,
FIFA Soccer 11,PS3,2010.0,Sports,0.61,3.28,0.06,1.12,89.0,8,E
Resident Evil,PS,1996.0,Action,2.05,1.16,1.11,0.73,91.0,9,M
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,1.7,1.99,0.16,1.18,86.0,8,M
Tony Hawk's Pro Skater,PS,1999.0,Sports,3.42,1.38,0.02,0.2,92.0,9.2,T
Warzone 2100,PS,1999.0,Strategy,2.79,1.89,0.0,0.33,,,
Spyro the Dragon,PS,1998.0,Platform,3.36,1.36,0.07,0.21,,,
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,3.49,0.01,0.01,1.48,82.0,8.2,T
Link's Crossbow Training,Wii,2007.0,Shooter,3.05,1.17,0.29,0.46,68.0,7.1,T
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,1.83,1.19,1.54,0.37,,,
Fallout 3,X360,2008.0,Role-Playing,3.4,0.99,0.09,0.45,93.0,8.5,M
Uncharted: Drake's Fortune,PS3,2007.0,Action,2.31,1.72,0.12,0.77,88.0,8.1,T
Madden NFL 06,PS2,2005.0,Sports,3.98,0.26,0.01,0.66,88.0,8,E
Diddy Kong Racing,N64,1997.0,Racing,2.91,0.99,0.89,0.1,,,
Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,0.0,0.0,4.87,0.0,,,
Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,2.6,1.08,0.81,0.38,,,
Dr. Mario,NES,1990.0,Puzzle,2.62,0.6,1.52,0.1,,,
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,2.57,1.68,0.0,0.58,93.0,8.2,T
Assassin's Creed,PS3,2007.0,Adventure,1.91,2.0,0.09,0.82,81.0,7.3,M
God of War III,PS3,2010.0,Action,2.74,1.33,0.12,0.61,92.0,8.7,M
Crash Team Racing,PS,1999.0,Racing,2.57,1.57,0.44,0.21,88.0,9,E
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,2.83,1.48,0.0,0.45,80.0,5.4,E
Driver 2,PS,2000.0,Action,2.36,2.1,0.02,0.25,62.0,7.7,T
Batman: Arkham City,X360,2011.0,Action,2.99,1.27,0.04,0.42,94.0,8.7,T
The Last of Us,PS4,2014.0,Action,1.88,2.0,0.07,0.77,,,
The Simpsons: Hit & Run,PS2,2003.0,Racing,1.73,2.19,0.0,0.79,,,
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,3.05,1.41,0.02,0.2,98.0,7.7,T
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,1.94,1.95,0.08,0.7,82.0,8.2,T
Tomb Raider,PS,1996.0,Action,2.29,1.97,0.13,0.24,91.0,8.6,T
Animal Crossing: City Folk,Wii,2008.0,Simulation,1.82,1.12,1.32,0.36,73.0,7.6,E
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,2.07,1.71,0.08,0.76,86.0,8.1,T
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,2.42,0.91,1.15,0.13,,,
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,2.6,0.99,0.89,0.13,96.0,8.9,E
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,3.04,1.11,0.0,0.43,86.0,8.4,T
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,1.8,1.39,1.11,0.29,86.0,8.4,E
Forza Motorsport 4,X360,2011.0,Racing,2.08,1.97,0.06,0.46,91.0,8.2,E
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,1.87,1.96,0.22,0.48,,,
Madden NFL 2005,PS2,2004.0,Sports,4.18,0.26,0.01,0.08,91.0,7.9,E
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,3.19,0.91,0.01,0.42,85.0,7.9,T
Pitfall!,2600,1981.0,Platform,4.21,0.24,0.0,0.05,,,
Madden NFL 07,PS2,2006.0,Sports,3.63,0.24,0.01,0.61,84.0,8.2,E
Halo 5: Guardians,XOne,2015.0,Shooter,2.78,1.27,0.03,0.41,84.0,6.4,T
Spider-Man: The Movie,PS2,2002.0,Action,2.71,1.51,0.03,0.23,76.0,7.9,E
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,0.2,0.14,4.1,0.02,,,
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,1.61,2.0,0.15,0.71,77.0,3.4,M
God of War,PS2,2005.0,Action,2.71,1.29,0.02,0.43,94.0,8.9,M
Splatoon,WiiU,2015.0,Shooter,1.54,1.18,1.46,0.26,81.0,8.5,E10+
Nintendo Land,WiiU,2012.0,Misc,2.52,1.11,0.46,0.33,77.0,7.9,E10+
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,2.66,1.29,0.01,0.46,97.0,7.5,T
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,0.1,2.39,1.05,0.86,86.0,8.9,E
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,2.82,1.03,0.13,0.4,94.0,8.7,M
Zelda II: The Adventure of Link,NES,1987.0,Adventure,2.19,0.5,1.61,0.08,,,
Need for Speed: Most Wanted,PS2,2005.0,Racing,2.03,1.79,0.08,0.47,82.0,9.1,T
Michael Jackson: The Experience,Wii,2010.0,Misc,2.64,1.33,0.01,0.39,56.0,8.3,E10+
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,1.56,1.93,0.19,0.68,,4.8,M
Resistance: Fall of Man,PS3,2006.0,Shooter,1.74,1.72,0.14,0.75,86.0,8.1,M
Sonic the Hedgehog,GEN,1991.0,Platform,3.03,0.91,0.26,0.13,,,
Kingdom Hearts II,PS2,2005.0,Role-Playing,2.2,0.58,1.38,0.17,87.0,9,E10+
The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,2.09,1.31,0.62,0.31,,,
Super Mario 3D World,WiiU,2013.0,Platform,2.11,1.16,0.73,0.32,93.0,9,E
Minecraft,PS4,2014.0,Misc,1.48,2.02,0.14,0.68,,,
Asteroids,2600,1980.0,Shooter,4.0,0.26,0.0,0.05,,,
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,2.77,1.11,0.0,0.4,,4.9,M
FIFA 15,PS3,2014.0,Sports,0.58,3.02,0.04,0.64,,4.5,E
Fable II,X360,2008.0,Role-Playing,2.51,1.24,0.11,0.41,89.0,6.5,M
Namco Museum,GBA,2001.0,Misc,3.0,1.11,0.05,0.07,79.0,7.3,E
Batman: Arkham Asylum,PS3,2009.0,Action,2.24,1.31,0.07,0.61,91.0,8.9,T
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,1.46,0.0,0.83,1.93,91.0,9.3,M
Assassin's Creed: Revelations,PS3,2011.0,Action,1.41,2.01,0.1,0.7,80.0,7.5,M
Fallout 4,XOne,2015.0,Role-Playing,2.51,1.32,0.01,0.38,88.0,6.2,M
FIFA 14,X360,2013.0,Sports,0.92,2.89,0.01,0.4,84.0,4.2,E
Daxter,PSP,2006.0,Platform,2.45,1.01,0.0,0.75,85.0,8.7,E10+
Warcraft II: Tides of Darkness,PC,1995.0,Strategy,1.7,2.27,0.0,0.23,,,
FIFA Soccer 06,PS2,2005.0,Sports,0.78,2.55,0.04,0.84,80.0,7.8,E
EyeToy Play,PS2,2003.0,Misc,0.88,2.3,0.2,0.83,80.0,7.5,E
Gran Turismo 5 Prologue,PS3,2007.0,Racing,1.28,1.82,0.57,0.52,80.0,7.1,E
Assassin's Creed: Revelations,X360,2011.0,Action,2.25,1.47,0.04,0.43,80.0,7.2,M
FIFA 12,X360,2011.0,Sports,0.84,2.78,0.02,0.53,,,
Teenage Mutant Ninja Turtles,NES,1989.0,Action,3.38,0.44,0.31,0.04,,,
Street Fighter IV,PS3,2009.0,Fighting,2.03,1.04,0.58,0.52,94.0,7.3,T
Excitebike,NES,1984.0,Racing,2.04,0.48,1.57,0.07,,,
Frogger,PS,1997.0,Action,3.79,0.27,0.0,0.11,,,
